Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
DBT,high,HR,502,1.3909,DBT 14,,0.154,0.104,0.138,0.863,0.586,0.9,13.373,,4.134,48.242,0.288,0.404,0.359,1.797,0.04,0.9,0.329,3.448,,14.415,0.397,0.161,0.228,1.844,5.958,0.067,4.89,7.042
DBT,high,HR,505,1.2918,DBT 24,,0.154,1.239,0.138,0.89,0.586,0.9,12.192,,2.051,150.294,0.035,0.404,7.586,1.084,0.04,0.9,0.329,3.448,,25.623,0.397,0.161,9.996,12.317,5.958,0.067,0.55,0.185
DBT,high,HR,508,1.2393,DBT 34,,0.154,38.167,0.138,0.968,0.586,0.9,61.123,,2.219,94.973,0.035,0.404,2.784,1.049,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,511,1.3345,DBT 44,,0.154,0.104,0.138,0.599,0.586,0.9,0.937,,1.124,42.713,0.035,0.404,0.749,1.087,0.04,0.9,0.329,3.448,,5.17,0.397,0.161,119.104,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,514,1.386,DBT 54,,0.154,0.104,0.138,1.299,0.586,0.9,83.442,,2.597,329.365,0.035,0.404,0.045,0.289,0.04,11.4,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,519,1.1031,DBT 64,,0.154,0.104,0.138,2.266,0.586,0.9,0.937,,2.13,497.371,0.035,0.404,0.045,0.907,2.856,16.68,0.329,3.448,,24.34,2.856,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,523,1.364,DBT 73,,0.154,0.104,0.138,1.173,0.586,0.9,18.695,,2.896,349.084,0.035,0.404,0.045,0.071,0.04,0.9,13.343,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,527,0.9722,DBT 84,,0.154,0.104,0.138,1.234,0.586,0.9,0.937,,2.469,131.043,0.035,1.183,0.045,0.669,0.04,9.823,0.329,3.448,,22.526,0.397,0.161,0.228,1.844,955.586,0.067,0.55,0.185
DBT,high,HR,603,1.1375,DBT 94,,0.308,0.104,0.138,0.791,0.586,0.9,0.937,,0.703,9.934,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,16.44,0.397,0.161,0.228,1.844,5.958,0.067,0.55,4.644
IHNB,high,HR,428,1,IH NB 87,0.307,,0.304,,0.439,0.273,0.238,,,0.681,14.228,0.242,0.464,0.21,0.176,0.132,,,0.464,0.322,0.835,0.445,0.995,37.731,5.475,144.585,0.837,0.36,2.23
IHNB,high,HR,505,2,IH NB 94,0.06,,0.608,,0.397,0.273,0.238,,,0.327,11.054,0.164,0.464,0.421,0.117,0.066,,,0.464,0.322,0.835,0.445,0.995,20.361,5.475,3.07,0.837,0.36,0.303
IHNB,high,HR,512,3,IH NB 101,0.06,,0.304,,0.547,0.547,0.476,,,0.048,10.273,0.035,1.831,0.21,0.452,0.166,,,0.464,0.322,0.835,0.445,5.172,15.187,29.306,3.07,0.837,2.092,0.303
IHNB,high,HR,520,4,IH NB 108,0.06,,0.304,,0.439,0.273,0.238,,,0.048,18.206,0.035,0.464,0.21,0.122,0.066,,,0.464,0.322,0.835,0.445,0.787,3.849,5.475,16.25,0.837,0.36,1.133
IHL,high,HR,428,1.2673,IH L 59,0.321,,,,0.039,,,,,13.967,9.074,1.381,5.997,,0.631,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.199,1.84
IHL,high,HR,505,0.7703,IH L 66,2.337,,,,0.065,,,,,10.061,23.238,2.077,5.388,,0.974,,,,,1.039,,1.817,0.042,0.123,0.204,1.702,0.137,0.11,0.709
IHL,high,HR,512,0.754,IH L 73,3.647,,,,0.597,,,,,9.748,21.751,1.326,3.117,,1.061,,,,,0.519,,0.9,0.042,0.123,0.451,1.024,0.137,0.11,0.546
IHL,high,HR,520,1.8189,IH L 80,2.227,,,,0.055,,,,,7.807,14.679,1.402,3.464,,1.402,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.217,0.031
IHBB,high,HR,428,2.6,IH BB 3,0.067,,0.089,0.04,0.129,,,1.546,0.184,0.857,5.357,0.193,,0.18,0.015,,,,,,0.615,,0.388,0.355,0.558,0.998,0.302,0.351,0.041
IHBB,high,HR,505,2,IH BB 10,0.279,,5.941,0.04,0.13,,,11.192,0.184,2.235,2.533,0.186,,3.278,0.149,,,,,,1.229,,1.539,0.355,0.558,19.949,54.041,0.124,0.041
IHBB,high,HR,512,1.9,IH BB 17,0.067,,9.485,0.04,0.162,,,4.454,0.184,2.585,1.985,0.115,,1.962,0.092,,,,,,2.238,,0.104,0.355,8.369,52.396,3.144,0.124,0.041
IHBB,high,HR,520,3,IH BB 24,0.067,,3.523,0.04,0.087,,,6.873,0.184,1.74,13.572,0.196,,0.652,0.087,,,,,,21.337,,1.302,2.834,1.331,5.981,4.126,2.218,0.041
IHH,high,HR,428,5.1,IH H 31,,,0.016,,0.112,,,,,0.037,3.316,0.028,,0.023,0.008,,,,,,0.41,,0.082,0.171,0.047,0.373,0.14,0.061,0.061
IHH,high,HR,505,4.98,IH H 38,,,0.317,,0.138,,,,,0.041,1.692,0.033,,0.122,0.008,,,,,,0.93,,0.082,0.171,0.344,0.373,0.167,0.089,0.046
IHH,high,HR,512,5.25,IH H 45,,,0.919,,0.095,,,,,0.009,2.037,0.005,,0.023,0.008,,,,,,2.529,,0.082,0.171,0.19,0.566,0.09,0.054,0.024
IHH,high,HR,520,5.16,IH H 52,,,0.207,,0.164,,,,,0.069,6.252,0.017,,0.023,0.008,,,,,,2.875,,0.082,0.171,0.312,0.373,0.109,0.027,0.034
FP,low,IB,429,1.9956,FP 5,0.012254902,0.013,0.2,,0.05,0.1,0.025,,0.012,0.075,0.676,,,0.012,0.013,0.05,0.025,0.025,0.389,0.063,2.155,,0.04,0.434,2.641,3.747,3.611,0.484,0.061
FP,low,IB,502,1.499,FP 15,0.03335557,0.013,0.025,,0.012,0.1,0.025,,0.012,0.067,1.901,,,0.012,0.033,0.013,0.025,0.025,0.389,0.063,2.769,,0.286,0.593,1.547,5.086,2.259,0.559,0.694
FP,low,IB,505,1.5,FP 25,0.133333333,0.013,0.4,,0.033,0.1,0.025,,0.4,0.2,4.067,,,0.012,0.067,0.013,0.025,0.025,0.389,0.063,5.233,,0.04,0.434,3.213,10.927,0.797,0.091,0.143
FP,low,IB,508,2,FP 35,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.075,0.6,,,0.075,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.787,6.737,7.984,3.378,0.753,0.742
FP,low,IB,511,2.04,FP 45,0.012254902,0.025,0.539,,0.025,0.1,0.025,,0.098,0.441,0.956,,,0.098,0.013,0.013,0.025,0.025,0.389,0.063,1.005,,0.04,0.434,2.463,9.038,1.618,0.091,0.251
FP,low,IB,514,2,FP 55,0.012254902,0.013,0.15,,0.025,0.1,0.025,,0.012,0.05,0.575,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.675,,0.029,0.45,14.373,1.371,0.505,0.069,0.248
FP,low,IB,519,1.49,FP 65,0.012254902,0.013,0.268,,0.034,0.1,0.025,,0.101,0.034,0.302,,,0.034,0.013,0.013,0.025,0.025,0.389,0.063,0.973,,0.029,0.254,1.822,0.938,1.42,0.047,0.385
FP,low,IB,523,2.01,FP 75,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.075,0.05,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,3.905,,0.08,0.061,0.455,0.938,0.834,0.114,0.072
FP,low,IB,527,2,FP 85,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.05,0.725,,,0.012,0.025,0.013,0.025,0.025,0.389,0.063,2.725,,0.029,0.745,0.92,0.938,4,0.047,1.332
DBT,low,IB,429,1.3037,DBT 5,,0.154,0.104,0.138,1.074,0.586,0.9,0.937,,0.767,17.028,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,10.202,0.397,0.161,0.228,1.844,221.644,0.067,0.55,0.185
DBT,low,IB,502,1.2898,DBT 15,,0.154,0.104,0.138,0.814,0.586,0.9,0.937,,0.892,21.554,0.035,0.404,0.045,0.426,0.04,0.9,0.329,3.448,,5.04,0.397,0.161,0.228,8.074,39.641,0.067,3.192,0.185
DBT,low,IB,505,1.1965,DBT 25,,0.376,1003.385,0.138,1.421,0.586,0.9,10.823,,4.137,116.089,0.035,0.404,0.045,1.797,0.04,0.9,0.329,3.448,,15.921,0.397,0.161,0.228,1.844,5.958,0.067,0.55,4.46
DBT,low,IB,508,1.2103,DBT 35,,0.154,0.104,0.138,1.818,0.586,0.9,0.937,,2.644,53.912,0.035,0.404,0.045,1.074,0.04,0.9,0.329,3.448,,8.015,0.397,0.161,0.228,54.062,5.958,0.067,0.55,8.214
DBT,low,IB,511,1.4359,DBT 45,,0.154,0.731,0.138,1.323,0.586,0.9,86.601,,2.472,31.827,0.035,0.404,0.418,0.453,0.04,0.9,0.329,3.448,,9.82,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,IB,514,1.3265,DBT 55,,0.154,0.104,0.138,1.432,0.586,0.9,25.782,,7.576,522.767,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,20.816
DBT,low,IB,519,1.0731,DBT 65,,0.154,0.104,0.138,1.072,0.586,0.9,0.937,,1.211,203.243,0.035,0.404,0.045,0.559,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,169.434,0.067,0.55,24.732
DBT,low,IB,523,1.4455,DBT 74,,0.154,0.104,0.138,0.865,0.586,0.9,15.254,,1.418,1.472,0.035,0.404,0.045,0.311,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,781.862,0.067,0.55,4.193
DBT,low,IB,527,1.2093,DBT 85,,0.154,0.104,0.138,1.654,0.586,0.9,0.937,,1.737,29.893,0.035,0.404,0.045,0.579,0.04,0.9,0.329,3.448,,8.021,0.397,51.547,0.228,1.844,5.958,0.067,11.048,0.185
DBT,low,IB,603,1.2143,DBT 95,,0.535,0.371,0.138,0.576,0.586,0.9,27.464,,1.565,9.553,0.035,0.404,0.045,0.329,0.04,2.224,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
IHNB,low,IB,428,1,IH NB 88,0.252,,0.304,,0.412,0.273,0.238,,,0.572,10.868,0.229,0.464,0.21,0.275,0.066,,,0.464,0.322,1.67,0.445,0.161,0.228,1.844,5.958,0.067,0.55,0.185
IHNB,low,IB,507,2,IH NB 95,0.382,,0.304,,0.584,0.273,0.238,,,1.976,21.536,0.135,0.464,0.21,0.225,0.066,,,0.464,0.322,0.835,0.445,0.161,0.228,1.844,5.958,0.067,0.55,0.185
IHNB,low,IB,512,3,IH NB 102,0.06,,0.304,,0.46,0.273,0.238,,,0.097,3.344,0.035,0.464,0.21,0.037,0.066,,,0.464,0.322,0.835,0.445,0.995,4.795,7.62,3.07,0.837,0.36,0.978
IHNB,low,IB,520,4,IH NB 109,0.06,,0.304,,0.425,0.273,0.238,,,0.048,10.994,0.035,0.464,0.21,0.134,0.066,,,0.464,0.322,0.835,0.445,0.161,0.228,1.844,31.348,0.067,0.55,0.653
IHL,low,IB,428,1.2628,IH L 60,0.321,,,,0.238,,,,,16.036,19.322,2.138,1.901,,1.029,,,,,0.519,,0.9,0.327,0.123,0.058,1.024,0.137,0.11,0.031
IHL,low,IB,507,1.4438,IH L 67,2.216,,,,0.139,,,,,8.208,13.679,0.177,3.636,,0.346,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.82,0.288
IHL,low,IB,512,1.7276,IH L 74,2.402,,,,0.018,,,,,9.261,14.558,2.055,2.865,,1.129,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,1.061,0.191
IHL,low,IB,520,1.3024,IH L 81,0.321,,,,0.384,,,,,10.097,12.055,1.958,0.518,,0.537,,,,,0.519,,0.9,0.277,0.123,0.058,1.024,0.137,0.11,0.031
IHBB,low,IB,428,2.2,IH BB 4,0.067,,0.089,0.04,0.106,,,1.546,0.184,0.088,2.051,0.071,,0.18,0.053,,,,,,0.615,,0.104,0.355,0.558,0.998,2.63,0.124,0.041
IHBB,low,IB,507,1.7,IH BB 11,0.067,,0.089,0.04,0.141,,,1.546,0.184,0.026,2.32,0.02,,0.18,0.047,,,,,,0.615,,0.104,0.355,6.695,29.639,2.047,1.828,0.041
IHBB,low,IB,512,1.6,IH BB 18,0.067,,0.178,0.04,0.217,,,1.546,0.184,0.079,3.317,0.039,,0.18,0.015,,,,,,0.615,,0.104,0.355,0.558,8.53,1.15,0.124,0.041
IHBB,low,IB,520,3,IH BB 25,0.067,,0.089,0.04,0.12,,,1.546,0.184,0.026,1.74,0.02,,0.18,0.03,,,,,,0.615,,0.104,2.324,0.558,11.6,2.886,0.399,0.041
IHH,low,IB,428,5.19,IH H 32,,,0.016,,0.094,,,,,0.004,1.503,0.022,,0.023,0.008,,,,,,0.41,,0.082,0.171,0.028,0.373,0.313,0.063,0.031
IHH,low,IB,507,5.3,IH H 39,,,0.016,,0.094,,,,,0.004,1.554,0.005,,0.023,0.008,,,,,,1.64,,0.082,0.171,0.137,0.373,0.249,0.084,0.042
IHH,low,IB,512,5.17,IH H 46,,,0.059,,0.073,,,,,0.082,2.177,0.009,,0.023,0.023,,,,,,0.41,,0.082,0.171,0.028,0.373,0.153,0.046,0.033
IHH,low,IB,520,5.11,IH H 53,,,0.127,,0.1,,,,,0.004,1.556,0.005,,0.023,0.008,,,,,,1.064,,0.082,0.171,0.072,0.373,0.159,0.027,0.029
FP,low,MB,430,0.97,FP 6,0.012254902,0.013,0.025,,0.103,0.1,0.025,,0.052,0.103,1.546,,,0.052,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,0.202,0.618,0.148,0.438,0.822
FP,low,MB,502,1.499,FP 16,0.012254902,0.013,0.025,,0.033,0.1,0.025,,0.012,0.067,1.234,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,3.673,18.058,4.076,0.091,0.662
FP,low,MB,505,1.49,FP 26,0.012254902,0.013,0.268,,0.034,0.1,0.025,,0.302,0.101,3.456,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,2.718,,0.04,0.434,3.029,9.855,1.793,0.747,0.494
FP,low,MB,508,1.98,FP 36,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.076,0.278,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,5.253,3.875,1.601,0.301,0.506
FP,low,MB,511,2,FP 46,0.012254902,0.013,0.025,,0.012,0.1,0.025,,0.012,0.075,0.325,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,1.673,1.772,1.889,0.239,0.411
FP,low,MB,514,1.99,FP 56,0.012254902,0.013,0.302,,0.025,0.1,0.025,,0.012,0.101,0.578,,,0.025,0.013,0.251,0.176,0.05,0.779,0.126,1.005,,0.029,0.061,3.221,5.3,3.03,0.047,0.28
FP,low,MB,519,1.5,FP 66,0.012254902,0.013,0.4,,0.033,0.1,0.133,,0.367,0.133,5.3,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,4.3,,0.029,0.061,0.368,0.938,0.562,0.277,0.145
FP,low,MB,523,2,FP 76,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.05,0.025,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,2.4,,0.33,0.061,0.057,7.236,2.705,0.493,0.897
FP,low,MB,527,2,FP 86,0.012254902,0.013,0.725,,0.025,0.1,0.025,,0.012,0.025,0.225,,,0.012,0.013,1.075,0.55,0.25,2.675,0.275,2.175,,0.029,0.424,1.324,7.6,5.375,0.047,0.891
DBT,low,MB,430,1.4195,DBT 9,,0.154,0.104,0.138,0.775,0.586,0.9,13.455,,1.691,10.849,0.035,0.404,0.045,0.458,0.04,0.9,0.329,3.448,,29.271,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,MB,502,1.5524,DBT 16,,0.154,0.104,0.138,0.709,0.586,0.9,21.161,,2.448,21.064,0.129,0.404,0.045,0.644,0.04,9.952,0.329,3.448,,23.125,0.397,0.161,0.228,1.844,5.958,0.067,0.55,9.582
DBT,low,MB,505,1.5741,DBT 26,,0.154,0.104,0.138,0.826,0.586,0.9,1.874,,1.239,110.476,0.035,0.404,0.045,1.016,1.493,0.9,0.329,3.448,,5.336,0.794,0.161,0.228,1.844,5.958,0.067,0.55,4.116
DBT,low,MB,508,1.4199,DBT 36,,0.154,0.104,0.138,1.655,0.586,0.9,56.87,,3.24,22.642,0.035,0.404,0.045,0.599,0.04,0.9,0.329,3.448,,17.889,0.397,12.613,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,MB,511,1.4399,DBT 46,,0.154,0.104,0.138,2.014,0.586,0.9,6.875,,3.16,61.845,0.035,0.404,0.045,1.771,0.04,0.9,0.329,3.448,,7.327,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,MB,514,1.5045,DBT 56,,0.154,0.104,0.138,1.063,0.586,0.9,19.143,,0.931,181.19,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,8.873,0.397,21.418,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,MB,519,1.2715,DBT 66,,0.154,2.595,0.138,0.983,0.586,0.9,20.999,,2.281,361.384,0.035,0.404,0.045,0.826,0.04,0.9,0.329,3.448,,0.792,0.397,95.641,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,MB,523,1.4458,DBT 75,,0.899,0.104,0.138,0.83,0.586,0.9,50.871,,1.729,189.653,0.035,0.404,0.045,0.865,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,low,MB,527,1.6427,DBT 86,,0.154,0.104,0.138,0.639,0.586,0.9,2.922,,1.187,1.472,0.035,0.404,0.045,0.335,0.04,0.9,0.329,3.448,,11.84,0.397,0.161,443.488,269.831,5.958,0.067,305.007,0.185
DBT,low,MB,603,1.3734,DBT 96,,0.801,0.104,0.138,1.456,0.586,0.9,19.623,,2.403,109.509,0.035,0.404,0.045,1.092,7.427,0.9,0.329,23.955,,41.539,4.005,0.161,0.228,1.844,5.958,0.067,0.55,0.185
FP,high,MO,429,2.01,FP 7,0.012254902,0.013,0.199,,0.025,0.1,0.025,,0.012,0.149,1.194,,,0.012,0.05,0.075,0.025,0.025,0.389,0.063,1.343,,0.04,0.434,1.254,3.897,0.148,0.687,0.605
FP,high,MO,502,1.497,FP 17,0.012254902,0.013,0.025,,0.012,0.1,0.025,,0.267,0.234,1.703,,,0.067,0.067,0.013,0.025,0.025,0.389,0.063,4.643,,0.04,0.434,2.716,8.959,1.177,0.253,0.183
FP,high,MO,505,1.5,FP 27,0.012254902,0.013,0.025,,0.067,0.1,0.025,,0.5,0.133,4.133,,,0.012,0.067,0.013,0.025,0.025,0.389,0.063,2.533,,0.04,0.434,1.872,23.514,4.326,0.26,0.137
FP,high,MO,508,2,FP 37,0.012254902,0.013,0.025,,0.05,0.1,0.025,,0.125,0.05,0.725,,,0.012,0.013,0.05,0.025,0.025,0.389,0.063,1,,0.04,0.434,3.226,9.407,5.729,0.164,0.469
FP,high,MO,511,2,FP 47,0.012254902,0.013,0.65,,0.025,0.1,0.025,,0.15,0.05,0.925,,,0.1,0.013,0.013,0.025,0.025,0.389,0.063,1.05,,0.04,0.434,1.44,3.349,1.212,0.164,0.246
FP,high,MO,514,2,FP 57,0.012254902,0.013,0.25,,0.025,0.1,0.025,,0.012,0.05,0.7,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.029,0.061,2.81,2.395,6.713,0.047,1.751
FP,high,MO,519,1.49,FP 67,0.012254902,0.013,0.025,,0.034,0.1,0.025,,0.134,0.101,2.013,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,4.396,,0.029,0.061,0.057,1.701,3.095,0.047,0.359
FP,high,MO,523,1.99,FP 77,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.025,0.025,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,1.357,,0.029,0.559,0.057,2.157,4.399,1.04,1.889
FP,high,MO,527,2,FP 87,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.05,0.525,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,2.525,,0.029,0.061,0.057,0.938,3.865,0.11,1.189
DBT,high,MO,429,1.4129,DBT 6,,1.486,0.104,0.991,0.92,0.586,0.9,35.317,,2.937,144.207,0.177,0.404,0.045,1.026,0.04,0.9,0.329,3.448,,19.924,0.397,0.161,0.228,1.844,5.958,70.95,7.776,1.838
DBT,high,MO,502,1.3715,DBT 17,,0.474,0.104,0.138,0.838,0.586,0.9,0.937,,1.713,113.161,0.035,0.404,0.045,0.474,0.04,0.9,0.329,3.448,,52.607,0.397,33.318,0.228,26.296,5.958,0.067,10.567,6.951
DBT,high,MO,505,1.4358,DBT 27,,0.154,0.104,0.138,0.94,0.586,0.9,0.937,,1.428,118.053,0.07,0.404,0.045,0.313,0.04,0.9,0.329,3.448,,11.074,0.397,25.799,0.228,1.844,5.958,0.067,0.55,14.697
DBT,high,MO,508,1.1261,DBT 37,,3.419,0.104,0.138,1.376,0.586,0.9,100.124,,2.664,55.679,0.035,0.404,0.045,0.577,0.04,0.9,0.329,3.448,,15.585,0.397,0.161,0.228,1.844,5.958,0.067,13.901,6.404
DBT,high,MO,511,1.2422,DBT 47,,0.154,0.104,0.138,1.328,0.586,0.9,63.396,,1.369,50.757,0.035,0.404,0.121,0.071,0.04,0.9,0.329,3.448,,5.836,0.397,0.161,0.228,1.844,5.958,0.067,27.794,0.185
DBT,high,MO,514,1.4164,DBT 57,,0.154,0.104,0.138,1.271,0.586,0.9,8.719,,1.871,216.5,0.035,0.404,0.045,0.459,0.04,0.9,0.329,3.448,,10.626,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,MO,519,1.5644,DBT 67,,1.151,0.104,0.138,1.055,0.586,0.9,9.652,,3.676,90.61,0.035,0.404,0.045,0.543,0.04,0.9,0.329,3.448,,13.008,0.397,0.161,0.228,8.416,5.958,0.067,0.55,0.185
DBT,high,MO,523,1.1081,DBT 76,,0.154,0.104,0.138,0.541,0.586,0.9,0.937,,0.902,144.121,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,MO,527,1.1293,DBT 87,,0.154,0.104,0.138,0.974,0.586,0.9,0.937,,0.093,95.679,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,47.817,0.397,0.161,0.228,14.009,5.958,0.067,7.035,5.228
DBT,high,MO,603,1.2644,DBT 97,,0.154,0.104,0.138,0.91,0.586,0.9,11.666,,1.74,9.807,0.035,1.7,0.045,0.395,0.04,0.9,0.329,3.448,,26.613,0.397,0.161,0.228,1.844,1449.19,0.067,69.507,4.258
IHNB,high,MO,430,1,IH NB 89,0.06,,0.304,,0.394,0.273,0.238,,,0.139,15.306,0.07,0.928,0.21,0.116,0.066,,,0.464,0.322,0.835,0.445,0.995,3.849,5.475,3.07,0.837,0.36,1.869
IHNB,high,MO,505,2,IH NB 96,0.416,,0.304,,0.49,0.273,0.238,,,2.866,10.166,0.147,0.464,0.21,0.269,0.066,,,0.464,0.322,0.835,0.445,2.841,3.849,5.475,3.07,0.837,1.475,4.429
IHNB,high,MO,513,3,IH NB 103,0.06,,0.304,,0.362,0.273,0.238,,,0.048,6.23,0.035,0.464,0.21,0.136,0.066,,,0.464,0.322,0.835,0.445,0.995,12.899,5.475,3.07,0.837,0.36,0.303
IHNB,high,MO,522,4,IH NB 110,0.06,,0.304,,0.392,0.273,0.238,,,0.048,9.641,0.087,0.464,0.21,0.037,0.066,,,0.464,0.322,0.835,0.445,0.995,3.849,5.475,3.07,0.837,0.36,0.303
